week,product,sentiment_categoria,count,total,percentage
2023-06-05,Apple Vision Pro,Negativo,9085,50323,18.053375196232338
2023-06-05,Apple Vision Pro,Neutro,15761,50323,31.31967490014506
2023-06-05,Apple Vision Pro,Positivo,25477,50323,50.626949903622595
2023-06-12,Apple Vision Pro,Negativo,578,2920,19.794520547945204
2023-06-12,Apple Vision Pro,Neutro,936,2920,32.054794520547944
2023-06-12,Apple Vision Pro,Positivo,1406,2920,48.150684931506845
2023-06-19,Apple Vision Pro,Negativo,103,477,21.59329140461216
2023-06-19,Apple Vision Pro,Neutro,150,477,31.446540880503143
2023-06-19,Apple Vision Pro,Positivo,224,477,46.9601677148847
2023-06-26,Apple Vision Pro,Negativo,63,307,20.521172638436482
2023-06-26,Apple Vision Pro,Neutro,109,307,35.50488599348534
2023-06-26,Apple Vision Pro,Positivo,135,307,43.97394136807817
2023-07-03,Apple Vision Pro,Negativo,33,169,19.526627218934912
2023-07-03,Apple Vision Pro,Neutro,59,169,34.9112426035503
2023-07-03,Apple Vision Pro,Positivo,77,169,45.562130177514796
2023-07-10,Apple Vision Pro,Negativo,24,108,22.22222222222222
2023-07-10,Apple Vision Pro,Neutro,34,108,31.48148148148148
2023-07-10,Apple Vision Pro,Positivo,50,108,46.2962962962963
2023-07-17,Apple Vision Pro,Negativo,18,82,21.951219512195124
2023-07-17,Apple Vision Pro,Neutro,31,82,37.80487804878049
2023-07-17,Apple Vision Pro,Positivo,33,82,40.243902439024396
2023-07-24,Apple Vision Pro,Negativo,11,72,15.277777777777779
2023-07-24,Apple Vision Pro,Neutro,24,72,33.33333333333333
2023-07-24,Apple Vision Pro,Positivo,37,72,51.388888888888886
2023-07-31,Apple Vision Pro,Negativo,20,96,20.833333333333336
2023-07-31,Apple Vision Pro,Neutro,30,96,31.25
2023-07-31,Apple Vision Pro,Positivo,46,96,47.91666666666667
2023-08-07,Apple Vision Pro,Negativo,30,132,22.727272727272727
2023-08-07,Apple Vision Pro,Neutro,46,132,34.84848484848485
2023-08-07,Apple Vision Pro,Positivo,56,132,42.42424242424242
2023-08-14,Apple Vision Pro,Negativo,16,110,14.545454545454545
2023-08-14,Apple Vision Pro,Neutro,50,110,45.45454545454545
2023-08-14,Apple Vision Pro,Positivo,44,110,40.0
2023-08-21,Apple Vision Pro,Negativo,18,107,16.822429906542055
2023-08-21,Apple Vision Pro,Neutro,40,107,37.38317757009346
2023-08-21,Apple Vision Pro,Positivo,49,107,45.794392523364486
2023-08-28,Apple Vision Pro,Negativo,20,88,22.727272727272727
2023-08-28,Apple Vision Pro,Neutro,30,88,34.090909090909086
2023-08-28,Apple Vision Pro,Positivo,38,88,43.18181818181818
2023-09-04,Apple Vision Pro,Negativo,14,66,21.21212121212121
2023-09-04,Apple Vision Pro,Neutro,20,66,30.303030303030305
2023-09-04,Apple Vision Pro,Positivo,32,66,48.484848484848484
2023-09-11,Apple Vision Pro,Negativo,19,96,19.791666666666664
2023-09-11,Apple Vision Pro,Neutro,30,96,31.25
2023-09-11,Apple Vision Pro,Positivo,47,96,48.95833333333333
2023-09-18,Apple Vision Pro,Negativo,22,79,27.848101265822784
2023-09-18,Apple Vision Pro,Neutro,24,79,30.37974683544304
2023-09-18,Apple Vision Pro,Positivo,33,79,41.77215189873418
2023-09-25,Apple Vision Pro,Negativo,19,115,16.52173913043478
2023-09-25,Apple Vision Pro,Neutro,37,115,32.17391304347826
2023-09-25,Apple Vision Pro,Positivo,59,115,51.30434782608696
2023-10-02,Apple Vision Pro,Negativo,16,65,24.615384615384617
2023-10-02,Apple Vision Pro,Neutro,14,65,21.53846153846154
2023-10-02,Apple Vision Pro,Positivo,35,65,53.84615384615385
2023-10-09,Apple Vision Pro,Negativo,7,64,10.9375
